EMPRESA,NIT,PLACA,ANO DE FABRIC./MODELO,RENAVAM,N° CHASSI,VISTORIADO,N° DE SELO,AR CONDICIONADO,DISPOSITIVO DE ACESSIBILIDADE,PASSAGEIROS SENTADOS,GPS,CAMERA,N° DO PROCESSO DE VISTORIA,OBSERVAÇÃO,CONSORCIO
MIRAMAR,2.3.022,LRE-9933,2015/2015,1046174360,9BM384067FB000599,2024,215.0,SIM,SIM,36,SIM,SIM,9900071267/24,,TRANSOCEÂNICO
MIRAMAR,2.3.023,LRF-9929,2015/2015,1046173208,9BM384067FB989978,2024,77.0,SIM,SIM,36,SIM,SIM,9900071279/24,,TRANSOCEÂNICO
MIRAMAR,2.3.024,LRF-9932,2015/2015,1046174093,9BM384067FB001226,2024,164.0,SIM,SIM,36,SIM,SIM,9900071303/24,,TRANSOCEÂNICO
MIRAMAR,2.3.025,LRF-9926,2015/2015,1046171493,9BM384067FB002034,2024,276.0,SIM,SIM,36,SIM,SIM,9900071313/24,,TRANSOCEÂNICO
MIRAMAR,2.3.026,LSG-2666,2015/2015,1079835277,9BM384067FB013300,2024,302.0,SIM,SIM,36,SIM,SIM,9900071323/24,,TRANSOCEÂNICO
MIRAMAR,2.3.027,LSG-2665,2015/2015,1079834750,9BM384067FB013290,2024,405.0,SIM,SIM,36,SIM,SIM,9900071343/24,,TRANSOCEÂNICO
MIRAMAR,2.3.028,KRI-4328,2015/2015,1079835773,9BM384067FB013283,2024,403.0,SIM,SIM,36,SIM,SIM,9900071382/24,,TRANSOCEÂNICO
MIRAMAR,2.3.029,LSG-2664,2015/2015,1079833878,9BM384067FB013304,2024,457.0,SIM,SIM,36,SIM,SIM,9900071405/24,,TRANSOCEÂNICO
MIRAMAR,2.3.030,LSI-1506,2015/2015,1087997027,9BM384067FB005138,2024,500.0,SIM,SIM,37,SIM,SIM,9900071426/24,,TRANSOCEÂNICO
MIRAMAR,2.3.031,LSI-1505,2015/2015,1087996381,9BM384067FB005136,2024,90.0,SIM,SIM,37,SIM,SIM,9900071261/24,,TRANSOCEÂNICO
MIRAMAR,2.3.032,KRI-4874,2015/2015,1087307772,9BM384067FB005121,2024,217.0,SIM,SIM,37,SIM,SIM,9900071270/24,,TRANSOCEÂNICO
MIRAMAR,2.3.033,LMH-5202,2015/2015,1087995873,9BM384067FB005118,2024,74.0,SIM,SIM,37,SIM,SIM,9900071281/24,,TRANSOCEÂNICO
MIRAMAR,2.3.034,LSR-9567,2016/2016,1100724432,9BM384067GB041390,2024,166.0,SIM,SIM,36,SIM,SIM,9900071305/24,,TRANSOCEÂNICO
MIRAMAR,2.3.035,KRQ-9244,2016/2016,1100723509,9BM384067GB040542,2024,275.0,SIM,SIM,36,SIM,SIM,9900071314/24,,TRANSOCEÂNICO
MIRAMAR,2.3.036,KRR-6787,2016/2016,1100725145,9BM384067GB040831,2024,303.0,SIM,SIM,36,SIM,SIM,9900071326/24,,TRANSOCEÂNICO
MIRAMAR,2.3.037,LSU-7106,2017/2017,1114540177,9BM384067HB054748,2024,355.0,SIM,SIM,36,SIM,SIM,9900071350/24,,TRANSOCEÂNICO
MIRAMAR,2.3.038,KRV-9819,2016/2017,1118590284,9532E82W9HR707398,2024,406.0,SIM,SIM,36,SIM,SIM,9900071386/24,,TRANSOCEÂNICO
MIRAMAR,2.3.039,KRV-9820,2016/2014,1118593259,9532E82W9HR707403,2024,456.0,SIM,SIM,36,SIM,SIM,9900071407/24,,TRANSOCEÂNICO
MIRAMAR,2.3.040,KRV-9821,2016/2017,1118760961,9532E82WXHR707393,2024,501.0,SIM,SIM,36,SIM,SIM,9900071429/24,,TRANSOCEÂNICO
MIRAMAR,2.3.041,KVY-3531,2018/2019,1163135370,9BM384067KB100140,2024,91.0,SIM,SIM,36,SIM,SIM,9900071262/24,,TRANSOCEÂNICO
MIRAMAR,2.3.042,KVY-3664,2018/2019,1163135981,9BM384067KB100240,2024,216.0,SIM,SIM,36,SIM,SIM,9900071271/24,,TRANSOCEÂNICO
MIRAMAR,2.3.043,KVY-3388,2018/2019,1163134667,9BM384067KB100280,2024,76.0,SIM,SIM,36,SIM,SIM,9900071285/24,,TRANSOCEÂNICO
MIRAMAR,2.3.044,KVZ-1174,2018/2019,1163325551,9BM384067KB100300,2024,165.0,SIM,SIM,36,SIM,SIM,9900071307/24,,TRANSOCEÂNICO
MIRAMAR,2.3.045,LTN-8H67,2018/2019,1181194285,9BM384067KB121927,2024,273.0,SIM,SIM,36,SIM,SIM,9900071315/24,,TRANSOCEÂNICO
MIRAMAR,2.3.046,LTN-8H71,2018/2019,1181200552,9BM384067KB121945,2024,306.0,SIM,SIM,36,SIM,SIM,9900071328/24,,TRANSOCEÂNICO
MIRAMAR,2.3.047,LTN-8H68,2018/2019,1181198060,9BM384067KB121947,2024,357.0,SIM,SIM,36,SIM,SIM,9900071369/24,,TRANSOCEÂNICO
MIRAMAR,2.3.048,LTN-8H69,2018/2019,1181198574,9BM384067KB121940,2024,419.0,SIM,SIM,37,SIM,SIM,9900071392/24,,TRANSOCEÂNICO
MIRAMAR,2.3.049,LTN-8H70,2018/2019,1181199104,9BM384067KB121949,2024,454.0,SIM,SIM,37,SIM,SIM,9900071413/24,,TRANSOCEÂNICO
MIRAMAR,2.3.050,LTN-8H72,2018/2019,1181200935,9BM384067KB121951,2024,503.0,SIM,SIM,37,SIM,SIM,9900071433/24,,TRANSOCEÂNICO
MIRAMAR,2.3.051,LMS-0A51,2018/2019,1181199520,9BM384067KB121965,2024,89.0,SIM,SIM,37,SIM,SIM,9900071263/24,,TRANSOCEÂNICO
MIRAMAR,2.3.052,RKB-0J11,2020/2021,1232061481,9BM384067MB172774,2024,218.0,SIM,SIM,38,SIM,SIM,9900071272/24,,TRANSOCEÂNICO
MIRAMAR,2.3.053,RKB-0J12,2020/2021,1232062240,9BM384067MB173102,2024,72.0,SIM,SIM,38,SIM,SIM,9900071300/24,,TRANSOCEÂNICO
MIRAMAR,2.3.054,RKB-0J13,2020/2021,1232062941,9BM384067MB172786,2024,163.0,SIM,SIM,38,SIM,SIM,9900071309/24,,TRANSOCEÂNICO
MIRAMAR,2.3.055,RKB-0J15,2020/2021,1232065002,9BM384067MB173116,2024,274.0,SIM,SIM,38,SIM,SIM,9900071317/24,,TRANSOCEÂNICO
MIRAMAR,2.3.056,RKB-0J14,2020/2021,1232063689,9BM384067MB172780,2024,305.0,SIM,SIM,38,SIM,SIM,9900071332/24,,TRANSOCEÂNICO
FORTALEZA,2.4.101,LTV-9I62,2019/2020,1216425911,9BM384067LB158318,2024,188.0,SIM,SIM,37,SIM,SIM,9900073170/24,Veículo anterior baixado - Proc. N° 080000100/20,TRANSOCEÂNICO
FORTALEZA,2.4.102,SRG-2D92,2023/2024,1360276944,9BM384050RB335497,2024,195.0,SIM,SIM,37,SIM,SIM,9900073171/24,Veículo anterior baixado - Proc. N° 080000092/21,TRANSOCEÂNICO
FORTALEZA,2.4.103,LTV-9I67,2019/2020,1216436670,9BM384067LB158717,2024,100.0,SIM,SIM,37,SIM,SIM,9900073173/24,Veículo anterior baixado - Proc. N° 080000101/20,TRANSOCEÂNICO
FORTALEZA,2.4.104,LTV-9I61,2019/2020,1216419407,9BM384067LB158533,2024,182.0,SIM,SIM,37,SIM,SIM,9900083354/24,,TRANSOCEÂNICO
FORTALEZA,2.4.105,LTV-9I66,2019/2020,1216434520,9BM384067LB158346,2024,,SIM,SIM,37,SIM,SIM,9900083331/24,Veículo anterior baixado - Proc. N° 080000995/20,TRANSOCEÂNICO
FORTALEZA,2.4.106,LTV-9I65,2019/2020,1216432721,9BM384067LB158741,2024,338.0,SIM,SIM,37,SIM,SIM,9900083318/24,Veículo anterior baixado - Proc. N° 080000102/20,TRANSOCEÂNICO
FORTALEZA,2.4.107,LTV-9I64,2019/2020,1216430427,9BM384067LB158731,2024,387.0,SIM,SIM,37,SIM,SIM,9900083314/24,,TRANSOCEÂNICO
FORTALEZA,2.4.108,LTV-9I63,2019/2020,1216427965,9BM384067LB158724,2024,434.0,SIM,SIM,37,SIM,SIM,9900083305/24,,TRANSOCEÂNICO
FORTALEZA,2.4.109,SRO-2B98,2023/2024,1360399418,9BM384050RB335198,2024,484.0,SIM,SIM,37,SIM,SIM,9900083287/24,,TRANSOCEÂNICO
FORTALEZA,2.4.110,SRO-2B68,2023/2024,1360276260,9BM384050RB335238,2024,517.0,SIM,SIM,37,SIM,SIM,9900083278/24,Veículo anterior baixado - Proc. N° 080000103/20,TRANSOCEÂNICO
FORTALEZA,2.4.111,SQW9H56,2023/2024,1360275344,9BM384050RB335496,2024,185.0,SIM,SIM,37,SIM,SIM,9900073175/24,Veículo anterior baixado - Proc. N° 080006144/2018,TRANSOCEÂNICO
FORTALEZA,2.4.112,SRG-2E34,2023/2024,1360511099,9BM384050RB335170,2024,204.0,SIM,SIM,37,SIM,SIM,9900073177/24,,TRANSOCEÂNICO
FORTALEZA,2.4.124,KRV-9595,2017/2017,1118160239,9BM384067HB057546,2024,287.0,SIM,SIM,39,SIM,SIM,9900083351/24,,TRANSOCEÂNICO
FORTALEZA,2.4.125,LSY-9315,2017/2017,1118160778,9BM384067HB057669,2024,284.0,SIM,SIM,39,SIM,SIM,9900083327/24,,TRANSOCEÂNICO
FORTALEZA,2.4.128,LTL-9315,2018/2019,1158263527,9BM384067KB092161,2024,435.0,SIM,SIM,37,SIM,SIM,9900083301/24,,TRANSOCEÂNICO
FORTALEZA,2.4.129,LTM-1508,2018/2019,1158535500,9BM384067KB092185,2024,485.0,SIM,SIM,37,SIM,SIM,9900083280/24,,TRANSOCEÂNICO
FORTALEZA,2.4.130,KRV-9593,2017/2017,1118159605,9BM384067HB057958,2024,533.0,SIM,SIM,39,SIM,SIM,9900083271/24,,TRANSOCEÂNICO
FORTALEZA,2.4.131,KRV-9596,2017/2017,1118160417,9BM384067HB057966,2024,233.0,SIM,SIM,39,SIM,SIM,9900073179/24,,TRANSOCEÂNICO
FORTALEZA,2.4.137,LTM-1509,2018/2019,1158535560,9BM384067KB092315,2024,445.0,SIM,SIM,37,SIM,SIM,9900083313/24,,TRANSOCEÂNICO
FORTALEZA,2.4.138,LTM-1507,2018/2019,1158535438,9BM384067KB092320,2024,433.0,SIM,SIM,37,SIM,SIM,990003292/24,Veículo ativo (em manutenção),TRANSOCEÂNICO
FORTALEZA,2.4.140,KRV-9594,2017/2017,1118159990,9BM384067HB057692,2024,532.0,SIM,SIM,39,SIM,SIM,9900083246/24,,TRANSOCEÂNICO
FORTALEZA,2.4.142,KZI-7734,2018/2019,1158535373,9BM384067KB092324,2024,197.0,SIM,SIM,37,SIM,SIM,9900073181/42,,TRANSOCEÂNICO
